"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"1",0.9,1,24.7,"made",1,1,3,0,11.9
"2",3.1,2,4.8,"made",0.8,1,2,0,1.7
"3",6.4,1,2.3,"missed",1.8,1,2,1,2.3
"4",15,2,3.5,"missed",0.2,1,2,0,2.7
"5",22.9,3,0.4,"missed",1.4,1,2,0,2.1
"6",9.2,4,1.7,"made",2,1,2,1,3.1
"7",10.7,5,6.9,"missed",4.2,2,2,1,2.3
"8",19.3,6,3.5,"made",5.3,2,2,0,4.4
"9",9,7,2.9,"made",0,2,2,0,2.7
"10",22.8,8,3,"missed",1.4,2,2,0,2.8
"11",12.6,1,2.3,"made",0.6,1,2,0,4.1
"12",15.8,2,4.6,"made",0.3,1,2,0,1.4
"13",9.3,3,6.2,"missed",5.8,1,2,5,2.1
"14",11.8,4,3,"made",0.6,1,2,0,4.2
"15",19.7,5,5.4,"made",0.8,3,2,0,2.6
"16",10.1,6,2.9,"missed",4.8,4,2,4,2.2
"17",5.3,1,8.2,"made",4.3,1,2,3,1.7
"18",17.2,2,3.4,"made",1.8,1,2,0,3.5
"19",14.2,3,6.3,"missed",5.2,1,2,1,3.1
"20",18.4,4,1.1,"made",0.9,1,2,0,6.9
"21",7.8,5,3.5,"made",4.9,2,2,3,1.6
"22",13.4,6,4.3,"missed",1.6,2,2,1,1.8
"23",14.8,7,2,"made",3.9,2,2,3,0
"24",3.5,8,3.5,"missed",5.8,2,2,3,3.4
"25",9.8,9,6.8,"made",4.6,2,2,2,2.6
"26",13.7,10,1.8,"made",1.8,3,2,0,0
"27",12.1,11,5.1,"made",1.9,3,2,2,2
"28",9.9,12,4,"missed",5.1,3,2,2,1.1
"29",7,13,7.5,"missed",3.5,3,2,1,1.7
"30",6.6,14,5.5,"made",6.5,3,2,4,2.9
"31",2,15,5.6,"missed",5.7,4,2,2,1
"32",13.1,1,1,"made",0,1,2,0,3
"33",8.1,2,2.5,"made",0.8,1,2,0,2.2
"34",9.7,3,0.6,"missed",2.9,1,2,0,0.6
"35",7.8,4,1.9,"made",1.8,1,2,0,1.3
"36",9,5,8.9,"missed",3.3,1,2,2,1.6
"37",15.7,6,3.7,"missed",4.6,1,2,0,2.3
"38",11.2,7,7,"missed",5.1,1,2,0,1.4
"39",10.7,8,6,"made",3.5,2,2,1,1.3
"40",3.4,9,6.6,"missed",6.8,2,2,5,2.1
"41",8,10,7.1,"made",3.4,3,2,1,3.9
"42",9,11,6.4,"missed",3.7,3,2,2,2.5
"43",8.6,1,2.7,"missed",4,1,2,2,0
"44",8.7,2,8.6,"missed",4.5,1,2,4,2.9
"45",24,3,1.3,"made",1,1,2,0,3.4
"46",7.4,4,4.7,"made",3.4,2,2,3,2.3
"47",18.3,5,1.4,"made",0.6,2,2,0,0.6
"48",3.8,6,8.1,"missed",2.7,2,2,1,2.5
"49",11.7,7,3.7,"made",0.2,3,2,0,5.8
"50",9.6,8,4.3,"missed",3.2,3,2,0,0.3
"51",18.2,9,2.3,"made",0.6,3,2,0,3.2
"52",15.6,10,3,"made",0.6,3,2,0,3.5
"53",15.8,11,1.2,"made",0.5,3,2,0,3.3
"54",3.5,12,4.4,"made",3,4,2,2,1.7
"55",8.7,13,6.4,"missed",3.5,4,2,2,3.8
"56",6.4,14,5.1,"missed",7.2,4,2,7,1.9
"57",6,15,5.3,"missed",2.5,4,2,2,2.5
"58",2.5,1,7.1,"made",1.5,1,2,1,3
"59",12.9,2,3.4,"missed",4.9,1,2,2,1.8
"60",24,3,1.1,"made",1.5,2,2,1,2.3
"61",22.8,4,1.2,"missed",1.5,2,2,0,2.6
"62",11.8,5,5.7,"made",0.6,2,2,0,2.6
"63",14.8,6,2.9,"missed",0.7,3,2,0,5.2
"64",18,7,7,"missed",0.8,3,2,0,2.4
"65",4.8,8,5.4,"missed",1,3,2,0,1.9
"66",6.2,9,7.3,"missed",2.5,3,2,1,2.7
"67",5.9,1,6.3,"missed",4.5,1,2,4,2.5
"68",7.1,2,3.3,"missed",4.4,1,2,0,3.8
