"","GAME_CLOCK","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES"
"1",09:09:00,13.7,1,7,"missed",9.5,1,2,9
"2",06:08:00,15.2,2,5.4,"missed",7.9,1,2,8
"3",04:38:00,12.3,3,23.2,"made",5.6,1,3,0
"4",00:02:00,NA,4,27.1,"missed",2,1,3,0
"5",10:17:00,20.8,5,3.1,"made",2.7,2,2,2
"6",06:14:00,16.2,6,5.7,"missed",8.3,2,2,7
"7",06:14:00,15.7,7,2.9,"made",0,2,2,0
"8",07:54:00,14.4,8,23.2,"missed",7,3,3,0
"9",02:02:00,21.3,9,23.9,"missed",1,3,3,0
"10",01:32:00,1.4,10,15.4,"made",2.6,3,2,1
"11",00:00:00,NA,11,4.3,"made",17.3,3,2,18
"12",06:41:00,11.9,12,5.3,"missed",7.8,4,2,8
"13",05:55:00,9.1,13,3.3,"made",2.8,4,2,4
"14",04:10:00,2,14,25.9,"made",4.3,4,3,0
"15",03:29:00,2.9,15,26.8,"made",1.4,4,3,0
"16",00:56:00,1.5,16,2.6,"made",21.7,4,2,22
"17",11:09:00,10.6,1,14.8,"made",14.3,1,2,16
"18",09:57:00,8.2,2,19.8,"missed",4.9,1,2,2
"19",07:54:00,19.7,3,4.3,"made",6.7,1,2,9
"20",05:17:00,10.2,4,16.9,"made",10.1,1,2,8
"21",02:02:00,2.9,5,22.6,"missed",11.4,1,2,13
"22",01:55:00,20.2,6,10.3,"made",2.5,1,2,3
"23",01:13:00,11.5,7,2.9,"made",11.7,1,2,13
"24",00:19:00,9.6,8,7.9,"missed",14.2,1,2,14
"25",11:41:00,4.7,9,21.8,"made",10.1,2,2,3
"26",10:55:00,4.8,10,4.8,"missed",17.9,2,2,18
"27",10:54:00,4.2,11,4,"missed",0,2,2,0
"28",10:04:00,21.8,12,3.5,"made",2.2,2,2,1
"29",09:41:00,12.4,13,20,"missed",2.2,2,2,2
"30",01:57:00,16.5,14,5.7,"made",7.2,2,2,8
