"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"1",13.7,1,7,"missed",9.5,1,2,9,0.8
"2",15.2,2,5.4,"missed",7.9,1,2,8,2.5
"3",12.3,3,23.2,"made",5.6,1,3,0,3.5
"4",0,4,27.1,"missed",2,1,3,0,3.9
"5",20.8,5,3.1,"made",2.7,2,2,2,3.5
"6",16.2,6,5.7,"missed",8.3,2,2,7,0.2
"7",15.7,7,2.9,"made",0,2,2,0,1.3
"8",14.4,8,23.2,"missed",7,3,3,0,2.6
"9",21.3,9,23.9,"missed",1,3,3,0,7.5
"10",1.4,10,15.4,"made",2.6,3,2,1,4.7
"11",0,11,4.3,"made",17.3,3,2,18,2.2
"12",11.9,12,5.3,"missed",7.8,4,2,8,2.5
"13",9.1,13,3.3,"made",2.8,4,2,4,5.9
"14",2,14,25.9,"made",4.3,4,3,0,4.2
"15",2.9,15,26.8,"made",1.4,4,3,0,3.7
"16",1.5,16,2.6,"made",21.7,4,2,22,4.2
"17",10.6,1,14.8,"made",14.3,1,2,16,4.8
"18",8.2,2,19.8,"missed",4.9,1,2,2,3.3
"19",19.7,3,4.3,"made",6.7,1,2,9,0
"20",10.2,4,16.9,"made",10.1,1,2,8,4.6
"21",2.9,5,22.6,"missed",11.4,1,2,13,4.7
"22",20.2,6,10.3,"made",2.5,1,2,3,3.1
"23",11.5,7,2.9,"made",11.7,1,2,13,3.2
"24",9.6,8,7.9,"missed",14.2,1,2,14,3.1
"25",4.7,9,21.8,"made",10.1,2,2,3,4.2
"26",4.8,10,4.8,"missed",17.9,2,2,18,0
"27",4.2,11,4,"missed",0,2,2,0,0
"28",21.8,12,3.5,"made",2.2,2,2,1,0.7
"29",12.4,13,20,"missed",2.2,2,2,2,5.1
"30",16.5,14,5.7,"made",7.2,2,2,8,0
"31",21,15,2.1,"made",3.4,2,2,4,8.8
"32",0,16,41,"missed",1,2,3,0,15.8
"33",18.5,17,10.7,"missed",4.4,3,2,6,3.2
"34",4.1,18,2.1,"made",6,3,2,2,1
"35",20.5,19,5.6,"made",1.3,3,2,1,2.4
"36",18.6,20,1.2,"missed",1,3,2,0,6.7
"37",1.2,21,18.9,"made",5.1,3,2,4,4.9
"38",14.4,22,5.8,"missed",9.3,3,2,9,1.3
"39",8,23,16.6,"missed",10.4,3,2,4,4.3
"40",6.8,1,2.7,"made",3.9,1,2,3,1.1
"41",5.8,2,9.3,"missed",3.8,1,2,3,3.2
"42",7.4,3,4.3,"made",11.1,1,2,10,2
"43",22.5,4,5.8,"made",1.9,1,2,1,2.5
"44",4.5,5,25.1,"missed",19.1,1,3,18,4.7
"45",7.7,6,26,"made",2.7,2,3,0,5.7
"46",6.9,7,4.1,"made",7.9,2,2,1,2.1
"47",11,8,27.9,"missed",4,2,3,0,7.4
"48",21.3,9,7.7,"made",2.2,2,2,0,15.9
"49",13.7,10,12.8,"missed",2.3,2,2,0,2.4
"50",9,11,11.9,"made",12.4,2,2,12,4.2
"51",14.6,12,2.5,"missed",4.3,2,2,3,0.3
"52",5,13,7.4,"missed",2.2,2,2,0,1.8
"53",9.3,14,2.4,"missed",14.8,2,2,13,3.5
"54",0,15,25.9,"missed",11.8,2,3,6,4
"55",7.6,16,11,"missed",7.3,3,2,3,4
"56",8.3,17,25.6,"made",4.8,3,3,4,4.9
"57",15.3,18,25.3,"missed",7.9,3,3,7,7.1
"58",3.9,19,18.7,"made",7.9,3,2,6,4.9
"59",1.7,20,19.2,"made",12.3,3,2,13,4.2
"60",16.1,21,25.2,"made",7.6,3,3,6,4.8
"61",11.7,22,25.4,"missed",12.3,3,3,16,3.3
"62",19.9,23,2.2,"made",3.4,3,2,3,2.9
"63",5,24,10.9,"missed",17,3,2,17,3.3
"64",7.8,25,16,"made",8.7,4,2,6,4
"65",2.9,26,25.3,"missed",5.7,4,3,5,4
"66",14.8,27,6.4,"missed",8.7,4,2,9,2.6
"67",2.3,28,22.7,"made",15.7,4,2,6,3.6
"68",3.5,29,25.3,"missed",14.5,4,3,14,6.1
"69",1.5,30,1,"missed",22.5,4,2,18,0
"70",2,31,23.5,"missed",20,4,2,6,3.3
"71",1,32,3.2,"missed",23.3,5,2,24,1.4
"72",10.7,33,25.8,"missed",5.7,5,3,4,6.1
"73",6.2,34,5.6,"missed",17.7,5,2,18,3.1
"74",24,35,25.9,"made",1.2,5,3,0,12.8
"75",7.3,1,5.2,"made",8,1,2,4,2.2
"76",19.2,2,7.3,"missed",3.9,1,2,4,5.5
"77",19.5,3,8.1,"made",1.4,1,2,1,4.3
"78",11,4,7.5,"made",13.3,1,2,15,5.1
"79",14.6,5,3.2,"made",9.3,1,2,6,3.4
"80",11.2,6,22.9,"missed",6.3,2,2,2,4.2
"81",14.3,7,24.7,"made",8.4,2,3,6,9.3
"82",11.1,8,5.1,"made",0,2,2,0,2.1
"83",15,9,25.5,"made",4.5,2,3,6,4.1
